farsi,exactr,exactf,chapter
asir,заключенный,اسیر,15
āzād kardan (kon),освобождать,آزاد کردن,15
badal,реплика; имитация,بدل,15
bāmodārā,терпимый,بامدارا,15
band,цепь; абзац; строка,بند,15
barnāme,"программа, передача",برنامه,15
bašar,человек; человечество,بشر,15
bāstānšenās,археолог,باستانشناس,15
bāzgardāni,возвращение,بازگردانی,15
bāzsāzi,восстановление; реконструкция,بازسازی,15
be armaqān āvardan (āvar),дать,به ارمغان آوردن,15
bejāymānde,оставшийся,بجای‌مانده,15
be narmi,мягко,به نرمی,15
Beritāniyā,великобритания,بریتانیا,15
bonyāngozār,основатель,بنیانگذار,15
da’vat kardan (kon),приглашать,دعوت کردن,15
darsad,процент,درصد,15
durbin,фотоаппарат,دوربین,15
e’lāmiye,"заявление, декларация",اعلامیه,15
ehterām,уважение,احترام,15
eštebāh gereftan (gir),ошибиться номером,اشتباه گرفتن,15
farmānravā,"правитель, суверен",فرمانروا,15
fāteh,"завоеватель, покоритель",فاتح,15
fath,"завоевание, победа",فتح,15
fāyede,выгода; полезность,فایده,15
"hāki budan az (hast, bāš)",доказательство,حاکی بودن از,15
hamdigar,друг друга,همدیگر,15
hamkār,коллега,همکار,15
hoquq,"права, юриспруденция, зарплата",حقوق,15
jān,"душа, дорогой (обращение)",جان,15
kanise,синагога,کنیسه,15
kārvānsarā,караван-сарай,کاروانسرا,15
kāvoš,раскопки; поиск,کاوش,15
laqab,"прозвище, звание",لقب,15
lezzat,наслаждение,لذت,15
mādaršowhar,теща,مادرشوهر,15
majles,"собрание, Меджлис",مجلس,15
manšur,устав,منشور,15
manzel,квартира,منزل,15
maqar(r),"основание, база, сиденье",مقر,15
matn,текст,متن,15
mehmāni,"вечеринка, банкет",مهمانی,15
melal,нации,ملل,15
mihan,родина,میهن,15
minibus,микроавтобус,مینیبوس,15
moddathā,долгое время,مدتها,15
mohaqqeq,ученый; исследователь,محقق,15
motealleq,принадлежащий,متعلق,15
mottahed,единый,متحد,15
"mozāhem šodan (šav, šow)",тревожить; беспокоить,مزاحم شدن,15
mu,волос,مو,15
mu zadan (zan),стричься,مو زدن,15
nāji,спаситель,ناجی,15
navāzande,музыкант,نوازند,15
negaristan (negar),"обозревать, рассматривать",نگریستن,15
niyāyešgāh,храм,نیایشگاه,15
olgu,модель; образец; шаблон,الگو,15
ostovāne,цилиндр,استوانه,15
pažuhešgar,научный сотрудник; ученый,پژوهشگر,15
peyqām gozāštan (gozār),оставить сообщение,پیغام گذاشتن,15
qasr,дворец,قصر,15
rahāyi,освобождение; свобода; выпуск,رهایی,15
rahāyibaxš,либерализация; освобождение,رهایی‌بخش,15
sābeqe,история; прошлое,سابق,15
sanad,документ,سند,15
sarāmad,наиболее значительный,سرامد,15
šavāhed,свидетельства,شواهد,15
sāxtan (sāz),строить; сделать; производить,ساختن,15
sāzmān,организация,سازمان,15
šekastxorde,побежденный,شکست خورده,15
sotudan (setā),"хвалить, прославлять",ستودن,15
tār,"тар, струна, нечеткий",تار,15
taxfif,скидка,تخفیف,15
Towrāt,тора,تورات,15
tuālet,туалет,توالت,15
vazn,вес,وزن,15
virānšode,разрушенный,ویران‌شده,15
xod,свой,خود,15
xodam,я сам,خودم,15
xodaš,он сам,خودش,15
xodat,ты сам,خودت,15
xodemān,мы сами,خودمان,15
xodešān,они сами,خودشان,15
xodetān,вы сами,خودتان,15
yād kardan (kon),упомянуть,یاد کردن,15
yunāni,греческий,یونانی,15
a’dād,числа,اعداد,16
ābohavāyi,климатический,آب‌و‌هوایی,16
ābresāni,водоснабжение,آبرسانی,16
ābyāri,орошение,آبیاری,16
abyāt,"стихи, четверостишия",ابیات,16
adabiyāt,литература,ادبیات,16
adad,число,عدد,16
ahdāf,цели,اهداف,16
ālem,ученый,عالم,16
amal,операция; акт; действие,عمل,16
āmuzande,информативный; учебный,آموزنده,16
anāsor,элементы,عناصر,16
"āqāz šodan (šav, šow)",начать,آغاز شدن,16
arqām,цифры,ارقام,16
āsānsor,лифт,آسانسور,16
aš’ār,стихи,اشعار,16
aškāl,цифры,اشکال,16
azbar,наизусть,آزبر,16
bāqsāzi,садоводство,باقسازی,16
bargerefte,из; взятый из,برگرفته,16
bāzgu kardan (kon),"повествовать, рассказывать",بازگو کردن,16
beyt,стих,بیت,16
camedān,чемодан,چمدان,16
dabirestān,средняя школа,دبیرستان,16
dar qadim,раньше,در قدیم,16
delsuz,сострадательный; милостивый,دلسوز,16
dotaxte,двуспальный,دو تخته,16
emzā,подпись,امضا,16
emzā kardan (kon),знак,امضا کردن,16
enqelābiyun,революционеры,انقلابیون,16
enteqād,критика,انتقاد,16
enteqādāt,критические замечания,انتقادات,16
eqāmat kardan (kon),остаться,اقامت کردن,16
eštebāh kardan (kon),ошибаться,اشتباه کردن,16
estefāde kardan (kon),использование,استفاده کردن,16
fanāvari,технология,فناوری,16
faqih,исламский юрист,فقیه,16
foqahā,исламские юристы,فقها,16
fosul,поры года,فصول,16
gozarnāme,паспорт,گذرنامه,16
hadaf,"цель, намеряние",هدف,16
hamsar,"супруг, супруга",همسر,16
hargāh,когда,هرگاه,16
harvaqt,когда,هروقت,16
hekāyāt,"байки, истории",حکایات,16
horuf,буквы,حروف,16
hušmandāne,умный,هوشمندانه,16
jāhān,мир,جاهان,16
jangal,лес,جنگل,16
kalamāt,слова,کلمات,16
kārbord,применение; использование,کاربرد,16
madāres,школы,مدارس,16
manābe’,источники,منابع,16
manba’,источник,منبع,16
mas’ale,"задача, проблема",مساله,16
mas’ul,ответственность,مسئول,16
masāel,проблемы,مسائل,16
mavāred,случаи,موارد,16
mavāze’,позиции,مواضع,16
mirās,наследие; наследование,میراث,16
mivejāt,фрукты,میوجات,16
moallemin,учителя,معلمین,16
molāhezāt,соображения,ملاحظات,16
molāheze ,рассмотрение; наблюдение,ملاحظه ,16
mowred,случай,مورد,16
mowze’,положение,موضع,16
moxālef,"противник, оппонент",مخالف,16
moxālefin,соперники,مخالفین,16
nām bordan (bar),упоминать,نام بردن,16
namād,символ,نماد,16
olamā,ученые,علما,16
onsor,элемент,عنصر,16
pāsoxguyi,подотчетность; ответственность,پاسخگویی,16
pāsport,паспорт,پاسپورت,16
por,полный,پر,16
qorun,века,قرون,16
rais,глава; директор,رئیس,16
rāhnamāyi kardan (kon),"вести, инструктировать",راهنمایی کردن,16
rāhrow,коридор,راهرو,16
raqam,цифра,رقم,16
roasā,руководители; директора,روسا,16
sabk,стиль,سبک,16
sabzi,овощи,سبزی,16
sabzijāt,овощи,سبزیجات,16
šāgerd,ученик,شاگرد,16
sālon,зал; салон; гостиная,سالن,16
sālon-e qazāxori,столовая,سالن غذاخوری,16
sāmāne,система,سامان,16
šarāyet,условия,شرایط,16
sāreq,вор,سارق,16
sāreqin,воры,سارقین,16
saxt,трудный; тяжелый,سخت,16
sāxtemān,здание,ساختمان,16
še’r,стихотворение; поэзия,شعر,16
sepāsgozār,благодарный,سپاسگزار,16
setaxte,трехместный номер,سه‌تخته,16
šive,способ; стиль,شیوه,16
šoarā,поэты,شعرا,16
šohrat,слава,شهرت,16
tabaqe,этаж,طبقه,16
tah-e,в конце,ته,16
taht-e ta’sir,находящийся под воздействием,تحتِ تاثیر,16
tariq,путь,طریق,16
tarrāhi,"разработка, планирование",طراحی,16
tavānāyi,способность,توانایی,16
telefoni,по телефону,تلفنی,16
vazāyef,обязанности,وظایف,16
vāže,слово (و___),واژه,16
vazife,обязанность,وظیفه,16
vazifešenās,покорный,وزیفشناس,16
xalife,халиф,خلیفه,16
xolafā,халифы,خلفا,16
yektaxte,односпальная кровать,یکتخته,16
zowq,вкус,ذوق,16
agar,если,اگر,17
agarce,хотя,اگرچه,17
alāve bar in,кроме того,علاوه بر این,17
āmāde,готовый,آماده,17
ammā,но,اما,17
āntaraf,там,آنطرف,17
āšqāl,мусор,آشغال,17
az ānjā ke,потому что,از آنجا که,17
az in jahat,поэтому,از این جهت,17
az in ru,поэтому,از این رو,17
az mowqe-i ke,поскольку,از موقی که,17
az vaqt-i ke,поскольку,از وقت‌ای که,17
āžāns,агентство,آژانس,17
bā ān ke,хотя,با آن که,17
bā in hāl,тем не менее,با این حال,17
bā in vojud,тем не менее,با این وجود,17
bā vojud-e in,тем не менее,با وجودِ این,17
bā vojud-e in ke,хотя,با وجود این که,17
ba’d az in ke,после,بعد از این که,17
balke,но,بلکه,17
banā bar in,поэтому,بنا بر این,17
bānešāt,живой,بانشاط,17
barā-ye in ke,чтобы,برای این که,17
bargozidan (gozin),выбрать,برگزیدن,17
be dalil-e ān ke,потому что,به دلیل آن که,17
be in dalil,по этой причине,به این دلیل,17
be jā-ye ān ke,вместо,به جای آن که,17
be jā-ye in ke,вместо,به جای این که,17
be sabt residan (res),быть зарегистрированным,به ثبت رسیدن,17
be šart-e in ke,"при условии, что",به شرطِ این که,17
be xāter-e in ke,потому что,به خاطر این که,17
bed-in tartib,таким образом,بدین ترتیب,17
bed-in vasile,при этом,بدین وسیله,17
be dun-e inke,без того чтобы,به دونِ اینکه,17
bi ān ke,без того чтобы,بی آن که,17
binande,зритель,بیننده,17
ceciz,какие,چچیز,17
cešme,источник,چشم,17
conānce,если,چنانچه,17
conke,поэтому,چونکه,17
dar hāl-i ke,в то время как,در حال‌ای که,17
dar natije,в результате,در نتیجه,17
dar surat-i ke,в то время как,در صورتی که,17
darmāni,терапевтический,درمانی,17
ehsās kardan (kon),чувствовать,احساس کردن,17
en’ekās,отражение,انعکاس,17
eqtesādi,экономической,اقتصادی,17
ešterāk,подписка,اشتراک,17
forudgāh,аэропорт,فرودگاه,17
garce,хотя,گرچه,17
gāzdār,карбонизированный,گازدار,17
gitār,гитара,گیتار,17
hal kardan (kon),"решить, прийти к выводу",حال کردن,17
haminke,как только,همینکه,17
harsāl,ежегодно,هرسال,17
hengām-i ke,пока,هنگام‌ای که,17
hezārān,тысячи,هزاران,17
hicgāh,никогда,هیچگاه,17
howzce,бассейн,حوضچه,17
jenāb,превосходство,جناب,17
kalsiyom,кальций,کلسیم,17
kilumetr,километр,کیلومتر,17
kuhestān,горы,کوهستان,17
lāye,уровень,لایه,17
masāref,"применения, использования",مصارف,17
moqābel-e,"визави, напротив",مقابلِ,17
mošābeh,аналогичный,مشابه,17
moškelāt,трудности,مشکلات,17
moštarek,общий; подписчик,مشترک,17
motorsiklet,мотоцикл,موتورسیکلت,17
na tanhā,не только,نه تنها,17
nur,свет,نور,17
parvāz,полет,پرواز,17
pas az in ke,после,پس از این که,17
piš az in ke,перед тем,پیش از این که,17
pormašqale,очень занят,پرمشغله,17
pornešāt,живой,پرنشاط,17
qābeletavajjoh,примечательный,قابل‌توجه‎‎,17
qabl az in ke,перед тем,قابل از این که,17
qesmat,"часть, доля",قسمت,17
rāhāhan,железная дорога,راهاهن,17
rangin,красочный,رنگین,17
rosubāt,отложения,رسوبات,17
rosubi,осадочный,رسوبی,17
sang,камень,سنگ,17
"sarāzir šodan (šav, šow)",стекать,سرازیر شدن,17
sarehāl,"здоровый, подтянутый",سرحال,17
šarif,почетный,شریف,17
šarqi,восточный,شرقی,17
šart,условие,شرط,17
sarzende,живой,سرزنده,17
satl,ведро,سطل,17
sāyerowšan,контрастность,سایروشن,17
šegeftangiz,замечательный,شگفت‌انگیز,17
šegeftzade,пораженный,شگفت‌زده,17
sen(n),возраст,سن,17
šomāretelefon,номер телефона,شمارتلفن,17
tābeš,радиация,تابش,17
tabiat,природа,طبیعت,17
tāksiservis,компания такси,تاکسیسرویس,17
talāyi,золотой,طلایی,17
tamannā kardan (kon),спросить,تمنا کردن,17
tamrin kardan (kon),практика,تمرین کردن,17
taqāzā kardan (kon),"спросить, попросить",تقاضا کردن,17
tartib,заказ,ترتیب,17
tašrif bordan (bar),идти,تشریف بردن,17
termināl,терминал,ترمینال,17
toršoširin,сладко-кислый,ترششیرین,17
vagarna,в противном случае,وگرنه,17
vaqt-i ke,в то время как,وقت‌ای که,17
varzeškār,спортсмен,ورزشکار,17
xiš,сам по себе,خیش,17
xoršid,солнце (خ___),خورشید,17
yeknavāxt,скучный; монотонный,یکنواخت,17
zirā,потому что,زیرا,17
zirāke,потому что,زیرا که,17
anbāri,"кладовая, подсобка",انباری,18
āpārtemān,квартира,آپارتمان,18
āšnā kardan (kon),знакомить,آشنا کردن,18
asnād,документы,اسناد,18
āyine,зеркало,آیینه,18
azemat ,"величина, величие",عظمت ,18
ba’d,после,بعد,18
bāqimānde,отдых,باقیمانده,18
barābari,равенство,برابری,18
barande,победитель,برنده,18
barde,"раб, рабыня",برده,18
barjeste,выдающийся,برجسته,18
"barxordār budan (hast, bāš)","иметь, обладать",برخوردار بودن,18
bāzande,проигравший,بازنده,18
be ātaš kešidan (keš),жечь,به آتش کشیدن,18
be hesāb āmadan (ā),подсчитывать,به حساب آمدن,18
bedastāmade,полученный; достигнутый,به‌دست‌آمده,18
bihamtā,уникальный; несравненный,بیهمتا,18
bikār,безработный,بیکار,18
conān,так; например; такой,چنان,18
dabestān,начальная школа,دبستان,18
darvāze,ворота,دروازه,18
dastšuyi,умывальник; туалет,دستشویی,18
dehkade,деревня,دهکده,18
eslāh kardan (kon),"брить; улучшить, исправить",اصلاح کردن,18
ettelāāt,информация,اطلاعات,18
fahmidan (fahm),понимать,فهمیدن,18
feqdān,отсутствие,فقدان,18
fer zadan (zan),сделать завивку,فر زدن,18
gerye kardan (kon),крик,گریه کردن,18
"gom šodan (šav, šow)",потеряться,گم شدن,18
gomšode,"потерянный, отсутствующий",گمشده,18
govāhi,"свидетельство, доказательство, свидетель",گواهی,18
guše,угол,گوشه,18
hekāyat kardan (kon),"свидетельствовать, сообщать",حکایت کردن,18
howle,полотенце,حوله,18
istādan (ist),"стоять, остановиться",ایستادن,18
jalb-e tavajjoh kardan (kon),привлечь внимание,جالب توجه کردن,18
jang,война,جنگ,18
kutāh kardan (kon),укорачивать,کوتاه کردن,18
"mahsub šodan (šav, šow)",считаться,محسوب شدن,18
maqsad,пункт назначения,مقصد,18
masāhat,"область, зона",مساحت,18
masir,"маршрут, путь",مسیر,18
model,модель,مدل,18
morattab kardan (kon),"прибирать, упорядочивать",مرتب کردن,18
nāciz,немного; незначительный,ناچیز,18
nahv,путь,نحو,18
noqāt,"точки, области",نقاط,18
pāre-i,некоторые,پاره‌ای,18
pārking,парковка,پارکینگ,18
pāyegozār,основатель,پایگزار,18
pellekān,лестница,پلکان,18
qablān,"уже, раньше",قبلان,18
qedmat,возраст,قدمت,18
rudxāne,река,رودخانه,18
šāgerdavval,лучший ученик,شاگرد اول,18
šāhanšāh,царь царей; король,شاهنشاه,18
šāhkār,шедевр,شاهکار,18
sangnevešte,надпись,سنگ نوشته,18
sāyer-e,другой,سایرِ,18
sešuār kešidan (keš),сушить волосы феном,سشوار کشیدن,18
soxan goftan (gu),говорить; сказать,سخن گفتن,18
takmil kardan (kon),полный,تکمیل کردن,18
talfiq,сборник,تلفیق,18
ta’mirkār,механик,تعمیرکار,18
taqdim kardan (kon),"подарить, посвятить",تقدیم کردن,18
tārixdān,историк,تاریخدان,18
tašakkor,спасибо,تشکر,18
tasāvir,изображения,تصاویر,18
tasvir,картина,تصویر,18
vālā,высокая,والا,18
vaqt-e qabli,назначение,وقتِ قبلی,18
vaqt gereftan (gir),назначить встречу,وقت گرفتن,18
vasāyel-e naqliye,транспортные средства,وسایل نقلیه,18
vilā,вилла; бунгало,ویلا,18
xarāb kardan (kon),уничтожить; ломать,خراب کردن,18
xat(t),"письменность, штрих, линия",خط,18
xunrizi,кровотечение; кровопролитие,خونریزی,18
yādgāri,"сувенир, память, напоминание",یادگاری,18
zahmat,"труд, усилие",زحمت,18
adabi,литературный,ادبی,19
ādi,"обычный, нормальный",عادی,19
afsānei,мифический,افسانه‌ای,19
āhangar,кузнец,آهنگر,19
aks,"фото, снимок",عکس,19
arabi,арабский,عربی,19
asil,"оригинальный, классический",اصیل,19
az in jahat ke,потому что,از این جهت که,19
bā in ke,хотя,با این که,19
bā vojud-i ke,хотя,با وجود‌ای که,19
bas,достаточно,بس,19
bas-i,"много, очень",بسی,19
be ellat-e in ke,потому что,به علت این که,19
be towr-i ke,так что,به طور‌ای که,19
bekārrafte,используемый,به‌کاررفته,19
bidār,бодрствующий,بیدار,19
cāhārruze,четыре дня,چاهارروزه,19
candruze,сколько дней; несколько дней,چندروزه,19
casbāndan (casbān),палка,چسباندن,19
cerāke,потому что,چراکه,19
dahhā,десятки,ده‌ها,19
dar surat-i ke,в случае,در صورتی که,19
dargozaštan (gozar),умереть,درگذشتن,19
dāstān,история; рассказ,داستان,19
dāstān-e āšeqāne,история любви,داستان عاشقانه,19
davāzdahsālegi,возраст двенадцати лет,دوازدهسالگی,19
dusti,дружба,دوستی,19
ebrat gereftan (gir),"учить, учить уроки",عبرت گرفتن,19
etminān,доверие,اطمینان,19
faryād zadan (zan),кричать,فریاد زدن,19
fāyede,"выгода, преимущество",فایده,19
ferestande,отправитель,فرستنده,19
geram,грамм,گرم,19
giyāhxār,вегетарианец,گیاهخوار,19
had(d),ограничение; степень,حد,19
hamāse,эпос,حماسه,19
hamvāre,всегда,همواره,19
harcand,хотя,هرچند,19
harf zadan (zan),говорить,حرف زدن,19
haštādsālegi,возраст восьмидесяти лет,هشتادسالگی,19
hazine,стоимость; расходы; плата,هزینه,19
jāvidān,"вечный, бессмертный",جاویدان,19
jazire,остров,جزیره,19
kādo,подарок,کادو,19
kešti,корабль,کشتی,19
kod-e posti,почтовый индекс,کد پستی,19
kudaki,детство,کودکی,19
lagad,"пинок, удар",لگد,19
madyun budan (has; bāš),"благодарить, оставаться в долгу",مدیون بودن,19
māhitābe,сковорода,ماهیتابه,19
mašhur,знаменитый,مشهور,19
mohkam,"трудный, твёрдый",محکم,19
musiqi-ye pāp,поп-музыка,موسیقی پاپ,19
musiqidān,музыкант,موسیقیدان,19
navāzandegi,музыкальная способность,نوازندگی,19
nazd-e,в,نزد,19
nimetārixi,полуисторичный,نیمتاریخی,19
pākat-e nāme,конверт,پاکت نامه,19
pišraft,прогресс,پیشرفت,19
post,сообщение,پست,19
post-e sefāreši,заказная почта,پستِ سفارشی,19
qāblame,горшок,قابلمه,19
qāleb,"форма, шаблон, формат",غالب,19
qam,печаль,غم,19
ranj bordan (bar),страдать,رنج بردن,19
šādi,счастье; радость,شادی,19
sāket,тихий,ساکت,19
sandoq-e post,почтовый ящик,صندوق پست,19
šarik,партнер,شریک,19
šaxsiyat,характер; личность,شخصیت,19
sāz,музыкальный инструмент,ساز,19
seri,серия,سری,19
sorāyande,поэт,سراینده,19
sorudan (sorā),"сочинять, петь",سرودن,19
taht-e ta’sir qarār gereftan (gir),оказываться под впечатлением,تحت تاثیر قرار گرفتن,19
tahvil dādan (deh),"доставить, вручить",تحویل دادن,19
tambr,печать,تمبر,19
tasallot,"господство, властвование",تسلط,19
tasmim gereftan (gir),принять решение; решить,تصمیم گرفتن,19
towr,способ,طور,19
"vāmdār budan (hast, bāš)","благодарить, оставаться в долгу",وامدار بودن,19
vāzeh,ясно,واضح,19
xābidan (xāb),сон,خوابیدن,19
xašmgin,гневный,خشمگین,19
yekxorde,немного,یکخرده,19
zarrebin,увеличительное стекло,ذره‌بین,19
zowqzade,возбужденный; радостный,ذوق‌زده,19
a’sār,возраст,اعصار,20
ālgoritm,алгоритм,آلگریتم,20
alkol,алкоголь,الکل,20
andiše,мысль; идея,اندیشه,20
arz,"ширина, широта, валюта",عرض,20
arzeš,"значение, цена",ارزش,20
asid,кислота,اسید,20
az miyān-e,"через, среди",از میانِ,20
ba’di,"следующий, последующий",بعدی,20
bābā,папа,بابا,20
bāje,счетчик,باجه,20
"bālā raftan (rav, row)","расти, подниматься",بالا رفتن,20
bānk,банк,بانک,20
barjāy gozāštan (gozār),отпуск,برجای گذاشتن,20
bayān kardan (kon),"выразить, сказать",بیان کردن,20
cekpul,дорожный чек,چکپول,20
dāneš,"знание, наука",دانش,20
dānešnāme,энциклопедия,دانشنامه,20
daqiq,точный,دقیق,20
"dastbekār šodan (šav, šow)",начать работать,دست‌به‌کار شدن,20
dastekam-at,"как минимум, по меньшей мере",دستکمت,20
elm,наука,علم,20
emruzi,современный,امروزی,20
entezār,ожидание,انتظار,20
eskenās,"банкнота, бумажные деньги",اسکناس,20
eslāh,коррекция,اصلاح,20
ettefāqi,случайный,اتفاقی,20
falsafi,философский,فلسفی,20
gāhšomāri,календарь,گاهشماری,20
gozāšte,прошлое,گذاشته,20
gugerd,сера,گوگرد,20
hakimāne,мудрый,حکیمانه,20
hamcon,как,همچون,20
harif,"противник, конкурент",حریف,20
hendi,"хинди, индийский, Индус",هندی,20
jabr,алгебра,جبر,20
joqrāfi,география,جغرافی,20
joqrāfidān,географ,جقرافیدان,20
jowhar,"вещество, чернила, кислота",جوهر,20
kašf,открытие,کشف,20
kašf kardan (kon),"выяснить, обнаружить",کشف کردن,20
kollan,"в целом, полностью",کلا,20
lahze,момент,لحظه,20
larzidan (larz),дрожать,لرزیدن,20
Lātin,"латинский, латинянин",لاتین,20
logāritm,логарифм,لگاریتم,20
ma’danšenāsi,минералогия,معدن‌شناسی,20
mafāhim,понятия,مفاهیم,20
mahd,колыбель,مهد,20
me’yār,"стандарт, критерий",معیار,20
"montazer šodan (šav, šow)",ждать,منتظر شدن,20
movāfeq budan (hast; bāš),согласны,موافق بودن,20
movarrex,историк,مورخ,20
nāmidan (nām),"обозначать, именовать, звать",نامیدن,20
navābeq,гении,نوابغ,20
negāh kardan (kon),смотреть,نگاه کردن,20
nerx,"ставка, обменный курс",نرخ,20
nesbat dādan (deh),приписывать,نسبت دادن,20
nozul kardan (kon),тонуть,نزول کردن,20
olum,науки,علوم,20
pažuheš,"исследование, изучение",پژوهش,20
pāyin āmadan (ā),"падать, тонуть",پایین آمدن,20
pur,сын,پور,20
pušide,"покрытый, изношенный",پوشید,20
qavi,сильный,قوی,20
qeymat,цена,قیمت,20
Qorun-e Vostā,средневековье,قرون وسطا,20
qowl dādan (deh),обещание,قول دادن,20
"rad šodan (šav, šow)","пройти, потерпеть неудачу",رد شدن,20
resāle,"трактат, диссертация",رساله,20
riyāzidān,математик,ریاضیدان,20
riše,корень,ریشه,20
robāiyāt,четверостишия,رباعیات,20
sāde,простой,ساده,20
šāns āvardan (āvar),"иметь удачу, эрг. везти",شانس آوردن,20
šāxe,ветвь,شاخه,20
šerkat kardan (kon),участвовать,شرکت کردن,20
setārešenās,астроном,ستارشناس,20
šimidān,химик,شیمیدان,20
šoluq,"шумный, шумно",شلوغ,20
ta’lif kardan (kon),"составлять, писать",تعلیف کردن,20
tabdil kardan (kon),"обменять, преобразовать",تبدیل کردن,20
talaffoz,произношение,تلفظ,20
taqvim,календарь,تقویم,20
taraqqi kardan (kon),"расти, прогрессировать",ترقی کردن,20
xadamāt-e arzi ,услуги обмена валюты,خدمات ارزی ,20
xalvat,"пустой, пустынный",خلوت,20
yax zadan (zan),замораживаться,یخ زدن,20
zaif,слабый,ضعیف,20
zamine,"тема, контекст",زمینه,20
āheste,"тихий, медленный",آهسته,21
āref,мистик,عارف,21
ārefāne,мистический,عارفانه,21
aš’ār,стихи,اشعار,21
axlāqi,"нравственный, моральный",اخلاقی,21
ayādat,"посещение, навещение",عیادت,21
bad āmadan (ā),"не любить, испытывать отвращение",بد آمدن,21
bašariyat,человечество,بشریت,21
bedunetavaqqof,"без остановок, прямиком",بدون توقف,21
be jor’at,"конечно же, наверняка",به جرات,21
bel’axare,в конце концов,بالاخره,21
belit-e raft,билет в один конец,بلیتِ رفت,21
bibarnāmegi,"беспорядок, путаница",بیبرنامگی,21
bustān,парк (ب___),بوستان,21
cāre,"средство от чего-либо, альтернатива",چاره,21
"dar dastres budan (hast, bāš)",быть в распоряжении,در دسترس بودن,21
da’vat kardan (kon),приглашать,دعوت کردن,21
dirine,"старый, древний",دیرینه,21
divān,сборник стихов,دیوان,21
divānegi,безумие,دیوانگی,21
ensāndusti,гуманитарный,انساندوستی,21
ettefāq ,"происшествие, событие",اتفاق ,21
"farāmuš šodan (šav, šow)",быть забытым,فراموش شدن,21
farāmuškār,забывчивый,فراموشکار,21
farāmuškāri,забывчивость,فراموشکاری,21
fowran,немедленно,فورا,21
"garm šodan (šav, šow)",согреться,گرم شدن,21
gerye gereftan (gir),расплакаться,گریه گرفتن,21
golestān,"цветник, розарий",گلستان,21
hassās,чувствительный,حساس,21
hekāyat ,"басня, история",حکایت ,21
howlhowlaki,наскоро,هولهولکی,21
jāduyi,"волшебный, магический",جادویی,21
jahl,невежество,جهل,21
jam’an,в целом,جمعا,21
javāni,молодежь,جوانی,21
jok,шутка,جوک,21
ma’navi,"духовный, моральный",معنوی,21
mahbub,"любимый, популярный",محبوب,21
maqām,"положение, статус, ранг",مقام,21
meh,туман,مه,21
nāgahān,внезапно,ناگهان,21
"nahādan (nah, neh)","ставить, класть",نهادن,21
nazar,мнение,نظر,21
nešāndan (nešān),помещать,نشاندن,21
noqte,точка,نقطه,21
panjšanbešab,четверг вечером,پنجشنبشب,21
parvāz-e xāreji,международный рейс,پروازِ خارجی,21
pišāmad,"инцидент, событие",پیشامد,21
porkār,трудолюбивый,پرکار,21
pormājarā,предприимчивый,پرماجرا,21
qazal,"сонет, лирическая поэма",غزل,21
raftobargašt,путешествие туда и обратно,رفتبرگشت,21
rānandegi kardan (kon),ехать на машине,رانندگی کردن,21
riyākāri,"фальшивость, лицемерие",ریاکاری,21
rox dādan (deh),"случиться, произойти",رخ دادن,21
Rum,рим,روم,21
sābeq,бывший,سابق,21
"sard šodan (šav, šow)",простудиться,سرد شدن,21
setiz,"столкновение, бой",ستیز,21
šifte,очарованный,شیفته,21
soxan,"речь, слово",سخن,21
tā konun,"до сих пор, ещё",تا کنون,21
taassob,"фанатизм, догма",تعصب,21
talāš,усилия,تلاش,21
tamannā,"желание, пожелание",تمنا,21
tarsnāk,"страшный, ужасный",ترسناک,21
tavaqqof,"остановка, стоянка",توقف,21
tond,быстрый,تند,21
xāb bordan (bar),засыпать,خواب بردن,21
xāheš,просьба,خواهش,21
xande gereftan (gir),рассмеялся,خنده گرفتن,21
xandidan (xand),смех,خندیدن,21
xorāndan (xorān),подача,خوراندن,21
xordsāli,детство,خردسالی,21
xoš āmadan (ā),"приветствовать, быть радым кому-то",خوش آمدن,21
yād āmadan (ā),"запомнить, вспомнить",یاد آمدن,21
yād oftādan (oft),"запомнить, вспомнить",یاد افتادن,21
"yād raftan (rav, row)",забывать,یاد رفتن,21
yavāš,медленный,یواش,21
yekdaf’e,"внезапный, неожиданный",یکدفعه,21
zarbe,"удар, воздействие",ضربه,21
zarbolmasal,"пословица, притча",ضرب المثل,21
abri,облачный,ابری,22
āftābi,солнечный,آفتابی,22
amudi,вертикальный,عمودی,22
āmuzeš didan (bin),быть обученным,آموزش دیدن,22
ārezu kardan (kon),желать,آرزو کردن,22
asbsavāri,верховая езда,اسب‌سواری,22
āsiyāyi,азиатка,آسیایی,22
axlāq,мораль,اخلاق,22
bānovān,дамы,بانوان,22
bar gardāndan (gardān),"повернуть, вернуть, перевести",بر گرداندن,22
basketbāl,баскетбол,بسکتبال,22
be onvān-e,для,به عنوانِ,22
beynolmelali,международный,بین المللی,22
be zudi,"скоро, в ближайшее время",به زودی,22
cowgān,поло,چوگان,22
damā,температура,دما,22
dar atrāf-e,вокруг,در اطرافِ,22
daraje-ye sāntigerād ,градус Цельсия,درجهٔ سانتیگراد ,22
dārande,владелец,دارنده,22
dastgir kardan (kon),"захватить, арестовать",دستگیر کردن,22
dast yāftan (yāb),достигать,دست یافتن,22
dastgiri,"захват, арест",دستگیری,22
doktorā,докторская степень,دکترا,22
dosevvom,две трети,دو سوم,22
došman,враг,دشمن,22
dozdi,"кража, грабеж",دزدی,22
elekteriki,электрический,الکتریکی,22
